"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7963","should upload a jpg file","webkit","Sun Aug 10 22:27:31 IST 2025","passed","Sun Aug 10 22:27:39 IST 2025","Upload File","upload.spec.ts","",""
"","5509","Verify home link is enabled using text and CSS selector","webkit","Sun Aug 10 22:27:26 IST 2025","passed","Sun Aug 10 22:27:31 IST 2025","Home","home.spec.ts","",""
"","5109","Click get started button using CSS Selector","chromium","Sun Aug 10 22:25:33 IST 2025","passed","Sun Aug 10 22:25:38 IST 2025","Home","home.spec.ts","",""
"","6844","Click get started button using CSS Selector","webkit","Sun Aug 10 22:27:12 IST 2025","passed","Sun Aug 10 22:27:19 IST 2025","Home","home.spec.ts","",""
"","7278","Verify heading text is visible using text selector","firefox","Sun Aug 10 22:26:23 IST 2025","passed","Sun Aug 10 22:26:30 IST 2025","Home","home.spec.ts","",""
"","15895","Open contact page and fill form","webkit","Sun Aug 10 22:26:42 IST 2025","failed","Sun Aug 10 22:26:58 IST 2025","Contact","contact.spec.ts","",""
"","7182","Verify home link is enabled using text and CSS selector","chromium","Sun Aug 10 22:25:41 IST 2025","passed","Sun Aug 10 22:25:48 IST 2025","Home","home.spec.ts","",""
"","4724","Verify text for all navigation links","chromium","Sun Aug 10 22:25:48 IST 2025","passed","Sun Aug 10 22:25:53 IST 2025","Home","home.spec.ts","",""
"","5758","has title","firefox","Sun Aug 10 22:26:01 IST 2025","passed","Sun Aug 10 22:26:06 IST 2025","","example.spec.ts","",""
"","3682","get started link","webkit","Sun Aug 10 22:27:01 IST 2025","passed","Sun Aug 10 22:27:05 IST 2025","","example.spec.ts","",""
"","16296","Open contact page and fill form","chromium","Sun Aug 10 22:25:20 IST 2025","failed","Sun Aug 10 22:25:37 IST 2025","Contact","contact.spec.ts","",""
"","5967","Verify text for all navigation links","webkit","Sun Aug 10 22:27:30 IST 2025","passed","Sun Aug 10 22:27:36 IST 2025","Home","home.spec.ts","",""
"","4686","Verify heading text is visible using text selector","webkit","Sun Aug 10 22:27:19 IST 2025","passed","Sun Aug 10 22:27:24 IST 2025","Home","home.spec.ts","",""
"","7227","Open Homepage and verify title","webkit","Sun Aug 10 22:27:05 IST 2025","passed","Sun Aug 10 22:27:12 IST 2025","Home","home.spec.ts","",""
"","5139","Verify search icon is visible using XPATH","webkit","Sun Aug 10 22:27:24 IST 2025","passed","Sun Aug 10 22:27:29 IST 2025","Home","home.spec.ts","",""
"","2754","get started link","chromium","Sun Aug 10 22:25:24 IST 2025","passed","Sun Aug 10 22:25:27 IST 2025","","example.spec.ts","",""
"","5520","Verify search icon is visible using XPATH","firefox","Sun Aug 10 22:26:28 IST 2025","passed","Sun Aug 10 22:26:34 IST 2025","Home","home.spec.ts","",""
"","19520","Open contact page and fill form","firefox","Sun Aug 10 22:25:56 IST 2025","failed","Sun Aug 10 22:26:15 IST 2025","Contact","contact.spec.ts","",""
"","9860","should upload a jpg file","firefox","Sun Aug 10 22:26:34 IST 2025","passed","Sun Aug 10 22:26:44 IST 2025","Upload File","upload.spec.ts","",""
"","4632","Verify heading text is visible using text selector","chromium","Sun Aug 10 22:25:38 IST 2025","passed","Sun Aug 10 22:25:43 IST 2025","Home","home.spec.ts","",""
"","3216","get started link","firefox","Sun Aug 10 22:26:08 IST 2025","passed","Sun Aug 10 22:26:11 IST 2025","","example.spec.ts","",""
"","5278","Open Homepage and verify title","chromium","Sun Aug 10 22:25:27 IST 2025","passed","Sun Aug 10 22:25:33 IST 2025","Home","home.spec.ts","",""
"","35068","has title","webkit","Sun Aug 10 22:26:48 IST 2025","broken","Sun Aug 10 22:27:23 IST 2025","","example.spec.ts","",""
"","1951","has title","chromium","Sun Aug 10 22:25:21 IST 2025","passed","Sun Aug 10 22:25:23 IST 2025","","example.spec.ts","",""
"","6817","Verify text for all navigation links","firefox","Sun Aug 10 22:26:32 IST 2025","passed","Sun Aug 10 22:26:38 IST 2025","Home","home.spec.ts","",""
"","4932","Verify search icon is visible using XPATH","chromium","Sun Aug 10 22:25:43 IST 2025","passed","Sun Aug 10 22:25:48 IST 2025","Home","home.spec.ts","",""
"","4680","Verify home link is enabled using text and CSS selector","firefox","Sun Aug 10 22:26:23 IST 2025","passed","Sun Aug 10 22:26:28 IST 2025","Home","home.spec.ts","",""
"","4910","Click get started button using CSS Selector","firefox","Sun Aug 10 22:26:18 IST 2025","passed","Sun Aug 10 22:26:23 IST 2025","Home","home.spec.ts","",""
"","5726","Open Homepage and verify title","firefox","Sun Aug 10 22:26:12 IST 2025","passed","Sun Aug 10 22:26:17 IST 2025","Home","home.spec.ts","",""
"","8149","should upload a jpg file","chromium","Sun Aug 10 22:25:49 IST 2025","passed","Sun Aug 10 22:25:57 IST 2025","Upload File","upload.spec.ts","",""
